tower_id,radio,operator,net,lat,lon,range,area
15028070,UMTS,e&,3,30.0276,31.2065,1329,32295
2251911,UMTS,Vodafone,2,30.2091,31.2277,3643,11341
7525544,UMTS,Vodafone,2,30.0352,31.0118,4137,31142
542795,UMTS,e&,3,30.1208,31.3491,534,31081
546690,UMTS,e&,3,30.1204,31.3456,1000,31081
546680,UMTS,e&,3,30.1159,31.3446,1340,31081
542791,UMTS,e&,3,30.1215,31.3498,1000,31081
7370070,UMTS,Vodafone,2,29.956,30.9159,1000,31121
7499900,UMTS,Vodafone,2,30.0656,30.9432,1903,31142
546684,UMTS,e&,3,30.1181,31.3463,1000,31081
532245,UMTS,e&,3,30.1233,31.3486,1000,31081
532241,UMTS,e&,3,30.1227,31.3491,1000,31081
2882813,UMTS,Vodafone,2,30.0021,31.1221,3024,11431
525413,UMTS,e&,3,30.1292,31.3578,1000,31081
535463,UMTS,e&,3,30.1295,31.3681,1798,31081
10116,GSM,Orange,1,30.1202,31.3618,1000,22251
1997,GSM,Vodafone,2,30.1314,31.3742,1000,21721
14303754,UMTS,e&,3,27.1848,33.8051,2946,32181
14347664,UMTS,e&,3,27.1698,33.8238,1000,32181
14347659,UMTS,e&,3,27.1683,33.8241,1000,32181
14347665,UMTS,e&,3,27.1823,33.8223,1709,32181
14347639,UMTS,e&,3,27.1944,33.8596,6670,32181
14347660,UMTS,e&,3,27.1774,33.823,1147,32181
14351129,UMTS,e&,3,27.2073,33.9297,3008,32181
14347667,UMTS,e&,3,27.1722,33.7652,5583,32181
14351131,UMTS,e&,3,27.1981,33.926,2416,32181
15041205,UMTS,e&,3,30.0648,31.1216,1000,32292
15028076,UMTS,e&,3,30.062,31.0281,1000,32292
14865018,UMTS,e&,3,25.7239,32.6024,1058,32262
14863279,UMTS,e&,3,25.6951,32.6392,1608,32262
15009649,UMTS,e&,3,30.0319,31.1528,3501,32291
15014767,UMTS,e&,3,30.0676,31.0193,1000,32292
15014766,UMTS,e&,3,30.0689,31.019,1000,32292
15028077,UMTS,e&,3,30.0655,31.0227,1000,32292
15070857,UMTS,e&,3,30.0768,31.008,1000,32292
14865378,UMTS,e&,3,25.7397,32.6048,2018,32262
15030298,UMTS,e&,3,30.0663,31.135,3935,32292
15070817,UMTS,e&,3,30.0691,31.0183,1000,32292
15030311,UMTS,e&,3,30.0565,31.0883,2279,32292
15070807,UMTS,e&,3,30.0652,31.0227,1000,32292
15028081,UMTS,e&,3,30.0667,31.0203,1000,32292
15070806,UMTS,e&,3,30.0628,31.0264,1000,32292
64150275,LTE,Vodafone,2,29.9599,30.9273,1000,21230
2255078,UMTS,Vodafone,2,30.2315,31.2229,4868,11341
2741961,UMTS,Vodafone,2,30.1054,31.2607,1000,11411
2809347,UMTS,Vodafone,2,30.132,31.3756,1000,11422
2843332,UMTS,Vodafone,2,29.9994,31.1184,1313,11431
2809342,UMTS,Vodafone,2,30.1294,31.3753,1000,11422
3039906,UMTS,Vodafone,2,30.1303,31.3682,1000,11461
24463,GSM,e&,3,24.0437,32.8605,3737,22163
21853,GSM,e&,3,24.0399,32.8571,1000,22163
1859335,UMTS,Vodafone,2,30.0373,31.2344,1000,23103
7423365,UMTS,Vodafone,2,30.0516,31.3911,1000,31131
7482057,UMTS,Vodafone,2,30.1428,30.8537,1783,31142
7493288,UMTS,Vodafone,2,30.0435,31.044,3424,31142
7370090,UMTS,Vodafone,2,29.9477,30.9088,1000,31121
7503928,UMTS,Vodafone,2,30.1855,30.788,2809,31142
7372236,UMTS,Vodafone,2,29.9439,30.9036,1000,31121
7483205,UMTS,Vodafone,2,30.0733,31.0078,1000,31142
7497644,UMTS,Vodafone,2,30.0747,31.0129,1000,31142
7482056,UMTS,Vodafone,2,30.1354,30.8644,1000,31142
7498903,UMTS,Vodafone,2,30.1373,30.8622,1000,31142
7482064,UMTS,Vodafone,2,30.1488,30.8439,3926,31142
7525619,UMTS,Vodafone,2,30.0832,30.8961,6397,31142
7503924,UMTS,Vodafone,2,30.1626,30.8201,1215,31142
7525583,UMTS,Vodafone,2,30.2001,30.736,8673,31142
7525582,UMTS,Vodafone,2,30.1853,30.7715,6989,31142
7525622,UMTS,Vodafone,2,30.0732,31.0078,1000,31142
7525569,UMTS,Vodafone,2,30.1414,30.7862,1956,31142
7525563,UMTS,Vodafone,2,30.0761,31.0077,1035,31142
7525545,UMTS,Vodafone,2,30.0649,31.0238,944,31142
7525618,UMTS,Vodafone,2,30.0873,30.8789,2805,31142
7525625,UMTS,Vodafone,2,30.0657,31.0222,1000,31142
7525617,UMTS,Vodafone,2,30.0996,30.8728,1943,31142
18992,GSM,Orange,1,30.133,31.3774,1000,22251
3182064,UMTS,Vodafone,2,30.2536,31.2216,4378,15481
52742913,LTE,Vodafone,2,29.9666,31.0537,1474,21320
15021447,UMTS,e&,3,30.0298,31.2104,1000,32295
15044966,UMTS,e&,3,30.0276,31.2079,1000,32295
15018955,UMTS,e&,3,30.0227,31.212,1000,32295
15048812,UMTS,e&,3,30.0589,31.0775,1327,32292
15030294,UMTS,e&,3,30.0667,31.1476,953,32292
2793941,UMTS,Vodafone,2,30.1272,31.3699,1000,11422
2200,GSM,Vodafone,2,30.0321,30.9678,1000,31142
2802674,UMTS,Vodafone,2,30.1307,31.3759,1000,11422
2262452,UMTS,Vodafone,2,30.1462,31.222,8047,11341
1073189,UMTS,e&,3,30.1084,31.3733,1000,31161
11627,GSM,Orange,1,30.1315,31.3709,1000,22251
3182065,UMTS,Vodafone,2,30.2435,31.2226,1657,15481
2209,GSM,Vodafone,2,30.0359,30.9663,1000,31142
19569,GSM,Vodafone,2,30.5157,31.3979,3630,22501
1059912,UMTS,e&,3,30.1193,31.3698,1000,31161
7498397,UMTS,Vodafone,2,30.0356,30.967,1000,31142
8241855,UMTS,Vodafone,2,29.9544,31.0755,2270,31122
8241856,UMTS,Vodafone,2,29.9551,31.0758,1326,31122
8241854,UMTS,Vodafone,2,29.9543,31.0828,1000,31122
7474144,UMTS,Vodafone,2,30.1305,30.8708,3613,31142
15048809,UMTS,e&,3,30.0587,31.082,1000,32292
50143,GSM,e&,3,24.0347,32.8574,2902,22163
15015216,UMTS,e&,3,30.0544,31.0387,1629,32292
15048811,UMTS,e&,3,30.0562,31.074,1000,32292
8232628,UMTS,Vodafone,2,29.898,31.0468,4112,31122
2813286,UMTS,Vodafone,2,30.1249,31.4013,1000,11422
7487014,UMTS,Vodafone,2,30.0432,30.9793,1000,31142
8192992,UMTS,Vodafone,2,29.9623,31.0668,1000,31122
2607107,LTE,Orange,1,30.1313,31.3862,2389,25636
7474142,UMTS,Vodafone,2,30.118,30.8762,2763,31142
1079452,UMTS,e&,3,30.1314,31.3852,1000,31161
50063,GSM,e&,3,24.0852,32.896,1000,22161
51361,GSM,e&,3,24.0762,32.8928,1000,22163
50062,GSM,e&,3,24.082,32.8924,1000,22161
65026818,LTE,Vodafone,2,29.9958,31.1031,6984,21250
2738307,UMTS,Vodafone,2,30.0495,31.2503,1000,11411
28790532,LTE,Vodafone,2,30.0761,31.4554,1223,21200
3056386,UMTS,Vodafone,2,30.1308,31.4581,1000,11461
25688067,LTE,Vodafone,2,30.0019,31.3956,1225,21240
26088961,LTE,Vodafone,2,30.0817,31.4359,1217,21200
26088963,LTE,Vodafone,2,30.0771,31.4301,1005,21200
28807425,LTE,Vodafone,2,29.9928,31.3785,1116,21240
574211,LTE,e&,3,30.1016,31.3661,3410,41161
51628034,LTE,Vodafone,2,29.9384,31.0329,5936,21320
28728321,LTE,Vodafone,2,30.0887,31.3415,1000,11180
51732227,LTE,Vodafone,2,30.0776,31.0031,1438,21250
65045505,LTE,Vodafone,2,30.0626,31.0965,1257,21250
64520451,LTE,Vodafone,2,29.9626,31.0554,1153,21320
25681665,LTE,Vodafone,2,29.9929,31.3855,1000,21240
64519171,LTE,Vodafone,2,30.0447,31.0498,2986,21250
64519170,LTE,Vodafone,2,30.0434,31.0552,3514,21250
1079448,UMTS,e&,3,30.1335,31.3863,1000,31161
29157890,LTE,Vodafone,2,30.0278,31.4028,855,21240
28751107,LTE,Vodafone,2,30.0143,31.3987,1000,21240
28751108,LTE,Vodafone,2,30.0158,31.3961,2127,21240
29203715,LTE,Vodafone,2,30.0561,31.4131,896,21240
25688065,LTE,Vodafone,2,30.0083,31.396,1183,21240
28843779,LTE,Vodafone,2,30.0475,31.4061,1000,21240
28793603,LTE,Vodafone,2,30.0403,31.4037,917,21240
28793602,LTE,Vodafone,2,30.0352,31.4037,1000,21240
29157889,LTE,Vodafone,2,30.0285,31.4025,1308,21240
29085699,LTE,Vodafone,2,30.0314,31.4032,1000,21240
28751105,LTE,Vodafone,2,30.0177,31.401,1222,21240
25796867,LTE,Vodafone,2,30.0535,31.2391,1000,11140
51242753,LTE,Vodafone,2,30.0175,31.0066,9323,21250
